x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
0.858607, 0.7357, -28.367020, 0.216667, 0.887545, 0.022767, -0.017740, 1496957374.614000, 2.834701, 1.000000, 0.002167, 22.015717, 13.693446, 12.638298
0.855147, 0.73686, -28.367176, 0.216667, 0.913475, 0.022767, 0.000000, 1496957374.624600, 2.834818, 1.000000, 0.004333, 22.015717, 13.675136, 12.638298
0.851608, 0.73803, -28.367333, 0.252778, 0.884692, 0.022690, -0.030410, 1496957374.634200, 2.834939, 1.000000, 0.006861, 22.102694, 13.675136, 12.595745
0.847987, 0.73924, -28.367502, 0.252778, 0.874161, 0.022690, 0.000000, 1496957374.643800, 2.835011, 1.000000, 0.009389, 22.102694, 13.723965, 12.595745
0.84427, 0.74047, -28.367668, 0.283333, 0.934227, 0.022652, -0.013566, 1496957374.654300, 2.835118, 1.000000, 0.012222, 22.102694, 13.723965, 12.574468
0.840443, 0.74175, -28.367820, 0.283333, 1.034661, 0.022652, 0.000000, 1496957374.663900, 2.835242, 1.000000, 0.015056, 22.102694, 13.650721, 12.574468
0.836527, 0.74305, -28.367978, 0.311111, 1.022756, 0.022575, -0.024707, 1496957374.674500, 2.835355, 1.000000, 0.018167, 22.114901, 13.650721, 12.531915
0.832523, 0.74437, -28.368154, 0.311111, 0.965700, 0.022575, 0.000000, 1496957374.684100, 2.835467, 1.000000, 0.021278, 22.114901, 13.653772, 12.531915
0.828455, 0.74571, -28.368321, 0.338889, 0.836594, 0.022498, -0.022681, 1496957374.693600, 2.835620, 1.000000, 0.024667, 22.163729, 13.653772, 12.489362
0.824334, 0.74708, -28.368462, 0.338889, 0.697852, 0.022498, 0.000000, 1496957374.704100, 2.835720, 1.000000, 0.028056, 22.163729, 13.675136, 12.489362
0.820131, 0.74848, -28.368583, 0.363889, 0.722276, 0.022383, -0.031684, 1496957374.714600, 2.835855, 1.000000, 0.031694, 22.261387, 13.675136, 12.425532
0.81583, 0.7499, -28.368701, 0.363889, 0.858754, 0.022383, 0.000000, 1496957374.724200, 2.835976, 1.000000, 0.035333, 22.261387, 13.684291, 12.425532
0.8114, 0.75136, -28.368819, 0.388889, 1.079375, 0.022306, -0.019764, 1496957374.733800, 2.836136, 1.000000, 0.039222, 22.212559, 13.684291, 12.382978
0.806857, 0.75285, -28.368958, 0.388889, 1.169263, 0.022306, 0.000000, 1496957374.744400, 2.836275, 1.000000, 0.043111, 22.212559, 13.699550, 12.382978
0.802227, 0.75435, -28.369088, 0.411111, 1.076318, 0.022229, -0.018695, 1496957374.753900, 2.836416, 1.000000, 0.047222, 22.273594, 13.699550, 12.340425
0.797518, 0.75587, -28.369217, 0.411111, 0.955823, 0.022229, 0.000000, 1496957374.764400, 2.836458, 1.000000, 0.051333, 22.273594, 13.665980, 12.340425
0.792717, 0.75743, -28.369343, 0.433333, 0.936041, 0.022114, -0.026604, 1496957374.773900, 2.836620, 1.000000, 0.055667, 22.188145, 13.665980, 12.276596
